OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,decay_risk_flag,epoch_age_days,decay_risk_score
STARLINK-34923,2025-179N,2026-07-15 09:19:13.340640,15.18360731,1.86e-06,97.2848,236.7581,233.3361,126.7872,65247,5108,0.0633956,0.01419969,0.0,True,2.160940224189815,190.45128766800502
STARLINK-34925,2025-179Q,2026-07-16 04:04:24.675456,15.0800254,0.00019021,97.2852,237.5399,128.3649,231.7751,65249,5115,0.039608015,0.00650574,0.0,True,1.379559034189815,118.79707831159736
STARLINK-35176,2025-211L,2026-07-16 07:02:25.950624,15.07399951,0.00011899,97.281,238.7207,74.0898,286.0462,65662,4639,0.031708653,0.00509778,0.0,True,1.2559331641898148,95.00220638449541
STARLINK-34947,2025-175L,2026-07-16 07:29:24.342720,15.07185603,0.00022871,97.2849,67.2988,96.7068,263.4421,65184,5199,0.028496198,0.00452308,0.0,True,1.237201774189815,85.32548118864057
STARLINK-35351,2025-211S,2026-07-16 05:03:04.280544,15.07097528,0.00013476,97.2817,238.6819,102.4406,257.6973,65668,4638,0.026880381,0.00428344,0.0,True,1.3388228641898148,80.45823259658539
STARLINK-34962,2025-179P,2026-07-16 06:02:57.628896,15.09829973,0.0002357,97.2844,237.5772,79.8883,280.2612,65248,5117,0.025444497,0.00437118,0.0,True,1.2972331841898148,76.13298761070237
STARLINK-34614,2025-161R,2026-07-16 06:44:13.494336,15.32828926,0.00014987,53.1595,57.1996,91.7428,268.3745,65030,5501,0.023130531,0.00803679,0.0,True,1.2685773341898148,69.16273803691801
STARLINK-3555,2022-022M,2026-07-16 06:40:10.685280,15.10090478,0.00010487,53.1593,151.5892,133.6633,226.4446,51863,24252,0.021814736,0.0037881,0.0,True,1.2713876241898148,65.19923142621691
STARLINK-34927,2025-175Y,2026-07-16 05:14:18.337920,15.0661882,0.00023238,97.2838,67.276,130.1715,229.9717,65196,5198,0.018880135,0.00291251,0.0,True,1.3310212741898149,56.35947260111871
STARLINK-34894,2025-216V,2026-07-16 05:17:14.225856,15.32911073,0.00010065,53.1582,95.7776,80.2379,279.8737,65753,4619,0.016975168,0.00584601,0.0,True,1.328985534189815,50.621231235505185
STARLINK-34966,2025-179Y,2026-07-15 09:01:24.605472,15.06443635,0.00030337,97.2843,236.781,129.1968,230.953,65257,5114,0.015571995,0.00237261,0.0,True,2.1733098441898147,46.39452003698467
STARLINK-35795,2025-254X,2026-07-16 00:20:48.492096,15.31145305,0.00022026,53.1608,354.1604,73.5955,286.5288,66369,3865,0.015259923,0.004974,0.0,True,1.5348389341898148,45.4544804145399
STARLINK-33764,2025-071T,2026-07-16 06:52:44.449248,15.33028306,0.00015334,53.1578,262.9248,78.3516,281.7658,63510,7243,0.014835486,0.00513971,0.0,True,1.2626635041898149,44.175969054239744
STARLINK-35120,2025-211H,2026-07-16 07:19:12.335232,15.06349381,0.00023991,97.2835,238.7076,86.1314,274.0188,65659,4639,0.013540985,0.00204844,0.0,True,1.244285194189815,40.27660534556234
STARLINK-3287,2021-125S,2026-07-16 03:11:16.341792,15.10380079,0.00015011,53.1611,32.2269,65.8681,294.2468,50172,25602,0.010029687,0.00170277,0.0,True,1.4164610441898149,29.699689613900816
STARLINK-3264,2021-125AU,2026-07-16 01:10:47.730720,15.10333947,0.00016918,53.1605,22.6096,90.4318,269.6868,50198,25611,0.010007483,0.00169669,0.0,True,1.5001255241898148,29.632805562217982
STARLINK-3903,2022-049M,2026-07-16 07:20:37.405536,15.10275331,0.00011713,53.1605,201.4571,28.5583,331.5473,52462,23166,0.009619508,0.00162655,0.0,True,1.2433005841898148,28.46412694793023
STARLINK-32572,2024-209P,2026-07-15 20:42:02.299968,15.30827455,0.0003064,53.1594,266.8512,153.7977,206.318,61952,9452,0.0087846,0.00274936,0.0,True,1.686762454189815,25.949173343966663
STARLINK-3864,2022-049T,2026-07-16 06:53:08.696544,15.10098556,0.00016259,53.1624,201.5364,102.4273,257.6901,52468,23166,0.0086052084,0.00144393,0.0,True,1.2623828641898147,25.40880057122908
STARLINK-3668,2022-025AY,2026-07-16 03:10:45.372576,15.10025748,0.00015235,53.1599,162.2715,115.7466,244.3683,52002,24031,0.0083021044,0.0013891,0.0,True,1.4168194841898147,24.495774828062437
STARLINK-3875,2022-049AJ,2026-07-16 06:54:44.668800,15.09999746,0.00010334,53.1591,191.5328,62.0328,298.0769,52483,23304,0.00824385,0.00137814,0.0,True,1.261272074189815,24.320297873443806
STARLINK-3900,2022-049L,2026-07-16 07:26:32.450784,15.0997987,0.00017539,53.1627,191.4373,119.6511,240.4655,52461,23180,0.0080543873,0.00134503,0.0,True,1.2391912641898148,23.749588405835798
STARLINK-3291,2021-125V,2026-07-16 00:17:15.460800,15.09992746,0.00017365,53.1616,32.7845,58.4739,301.6422,50175,25597,0.007998446,0.00133597,0.0,True,1.5373045741898146,23.58107909218039
STARLINK-3881,2022-049X,2026-07-16 06:37:25.282848,15.0998951,0.00010832,53.1615,201.5845,40.1678,319.9393,52472,23166,0.0078870695,0.00131685,0.0,True,1.2733020041898149,23.245584965795388
STARLINK-3883,2022-049AU,2026-07-16 06:27:42.196896,15.10441204,9.742e-05,53.1622,191.6126,43.5732,316.5337,52493,23180,0.0073890988,0.00124777,0.0,True,1.2800506841898147,21.745571543198817
STARLINK-3578,2022-022S,2026-07-16 06:33:47.433888,15.09869545,0.00014072,53.1607,151.6012,83.3215,276.7937,51868,24252,0.0073554959,0.00122222,0.0,True,1.2758234041898149,21.64435112794513
STARLINK-3856,2022-049J,2026-07-16 07:30:43.481664,15.09875255,0.00010822,53.1593,201.4204,54.8818,305.2276,52459,23166,0.0073475285,0.00122107,0.0,True,1.2362858141898148,21.620351308391093
STARLINK-3885,2022-049N,2026-07-16 07:21:25.391232,15.09863698,0.00013149,53.1614,191.4508,112.4976,247.6155,52463,23180,0.0071721255,0.00119096,0.0,True,1.2427451941898147,21.091993205467155
STARLINK-3860,2022-049AC,2026-07-16 05:35:41.758944,15.09780968,0.0001656,53.1594,191.7835,41.6815,318.4303,52477,23303,0.0068971496,0.00114179,0.0,True,1.3161668641898148,20.263696398264294
STARLINK-3532,2022-016P,2026-07-16 06:31:00.490080,15.1348317,0.00014759,53.1604,111.5142,86.4612,273.655,51727,24283,0.006614594,0.00121481,0.0,True,1.277755624189815,19.412567621752284
STARLINK-3918,2022-049AM,2026-07-16 06:06:18.184896,15.09714703,0.00015614,53.1593,201.688,46.8223,313.2899,52486,23166,0.0064719323,0.00106816,0.0,True,1.2949119341898148,18.982834577437742
STARLINK-3913,2022-049AL,2026-07-16 06:44:36.004128,15.09741269,0.00010738,53.1596,191.5692,40.8283,319.2789,52485,23180,0.0063504964,0.00104853,0.0,True,1.268316804189815,18.617038999535076
STARLINK-3583,2022-022AA,2026-07-16 04:16:21.378144,15.09697175,0.00014353,53.1598,152.0323,90.5094,269.6063,51876,24251,0.0063456071,0.00104642,0.0,True,1.371263864189815,18.602311194009367
